mat;dep;par;uf
383;RICARDO IZAR ; PSD;SP
384;RICARDO TRIPOLI ; PSDB;SP
385;ROBERTO DE LUCENA ; PV;SP
386;ORLANDO SILVA ; PCdoB;SP
387;ROBERTO ALVES ; PRB;SP
388;RODRIGO GARCIA ; DEM;SP
389;SAMUEL MOREIRA ; PSDB;SP
390;SÉRGIO REIS ; PRB;SP
391;SILVIO TORRES ; PSDB;SP
392;TIRIRICA ; PR;SP
393;VALMIR PRASCIDELLI ; PT;SP
394;VANDERLEI MACRIS ; PSDB;SP
395;VICENTE CANDIDO ; PT;SP
396;VICENTINHO ; PT;SP
397;VINICIUS CARVALHO ; PRB;SP
398;CARLOS ZARATTINI ; PT;SP
399;VITOR LIPPI ; PSDB;SP
400;CARLOS BEZERRA ; PMDB;MT
401;ADILTON SACHETTI ; PSB;MT
402;EZEQUIEL FONSECA ; PP;MT
403;FABIO GARCIA ; PSB;MT
404;VALTENIR PEREIRA ; PROS;MT
405;NILSON LEITÃO ; PSDB;MT
406;PROFESSOR VICTÓRIO GALLI ; PSC;MT
407;ERIKA KOKAY ; PT;DF
408;IZALCI ; PSDB;DF
409;SÁGUAS MORAES ; PT;MT
410;ALBERTO FRAGA ; DEM;DF
411;AUGUSTO CARVALHO ; SD;DF
412;LAERTE BESSA ; PR;DF
413;ROGÉRIO ROSSO ; PSD;DF
414;RONALDO FONSECA ; PROS;DF
415;RONEY NEMER ; PMDB;DF
416;ALEXANDRE BALDY ; PSDB;GO
417;CÉLIO SILVEIRA ; PSDB;GO
418;JOÃO CAMPOS ; PSDB;GO
419;JOVAIR ARANTES ; PTB;GO
420;DANIEL VILELA ; PMDB;GO
421;DELEGADO WALDIR ; PSDB;GO
422;FLÁVIA MORAIS ; PDT;GO
423;HEULER CRUVINEL ; PSD;GO
424;THIAGO PEIXOTO ; PSD;GO
425;RUBENS OTONI ; PT;GO
426;FÁBIO SOUSA ; PSDB;GO
427;ROBERTO BALESTRA ; PP;GO
428;PEDRO CHAVES ; PMDB;GO
429;GIUSEPPE VECCI ; PSDB;GO
430;LUCAS VERGILIO ; SD;GO
431;MAGDA MOFATTO ; PR;GO
432;MARCOS ABRÃO ; PPS;GO
433;CARLOS MARUN ; PMDB;MS
434;DAGOBERTO ; PDT;MS
435;GERALDO RESENDE ; PMDB;MS
436;MANDETTA ; DEM;MS
437;TEREZA CRISTINA ; PSB;MS
438;VANDER LOUBET ; PT;MS
440;ZECA DO PT ; PT;MS
441;ALIEL MACHADO ; PCdoB;PR
442;CHRISTIANE DE SOUZA YARED ; PTN;PR
443;ASSIS DO COUTO ; PT;PR
444;DILCEU SPERAFICO ; PP;PR
445;ALEX CANZIANI ; PTB;PR
446;EDMAR ARRUDA ; PSC;PR
447;DIEGO GARCIA ; PHS;PR
448;HERMES PARCIANELLO ; PMDB;PR
449;ENIO VERRI ; PT;PR
450;FERNANDO FRANCISCHINI ; SD;PR
451;ALFREDO KAEFER ; PSDB;PR
452;EVANDRO ROMAN ; PSD;PR
